price,unit,location,bedrooms,baths,state
Price on call,,Ajoke Akinbanmi Street Off Unity Ikeja,4,,Lagos
Price on call,,Lekki Phase I Off Admiralty Road,5,,Lagos
Price on call,,"Opposite Fire Office, Ebute Metta, Oyingbo",,,Lagos
Price on call,,"Igbobi College Road, Fadeyi",3,,Lagos
Price on call,,"Rhodes Crescent, Apapa",,,Lagos
Price on call,,"Alhaji Masha Road, Surulere ",,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
Price on call,,"Prime Waterview Gardens, Belavista Estate Lekki",3,,Lagos
Price on call,,"Off Ligali Ayorinde Street, Victoria Island",3,,Lagos
Price on call,,"Chris Otulana, U3 Estate Marwa, Lekki Phase 1",3,,Lagos
Price on call,,"Chris Otulana, U3 Estate Marwa, Lekki Phase 1",1,,Lagos
Price on call,,"Dolphin Plaza, Dolphin Estate, Ikoyi",,,Lagos
Price on call,,"Adenubi Close, Ikeja",2,,Lagos
Price on call,,"Payne Crescent, Apapa",2,,Lagos
Price on call,,"Onikan, Lagos",,,Lagos
Price on call,,Idado Lekki,4,,Lagos
Price on call,,"Bode Thomas Road, Surulere",4,,Lagos
Price on call,,"Olamijuyin Avenue, Parkview Estate, Ikoyi",5,,Lagos
Price on call,,Oniru Estate,3,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦3 million                                                     ",,VGC,4,,Lagos
"
                                                        ₦700 thousand                                                     ",,"Tayo Oyefeko Street, Aguda Surulere Lagos",3,,Lagos
"
                                                        ₦2.5 million                                                     ",,Off Adeniran Ogunsanya Surulere Lagos,4,,Lagos
"
                                                        ₦3 million                                                     ",,"Alaka Estate, Surulere Lagos",3,,Lagos
"
                                                        ₦4.5 million                                                     ",,"GRA, Ikeja Lagos",4,,Lagos
"
                                                        ₦5.5 million                                                     ",,Parkview Ikoyi,3,,Lagos
"
                                                        ₦300 thousand                                                     ",,Alakuko,3,,Lagos
"
                                                        ₦650 thousand                                                     ",,"By Orimolade, Ogba",3,,Lagos
"
                                                        ₦1.2 million                                                     ",,"Alapere Estate, Ketu",4,,Lagos
"
                                                        ₦5                                                    ",,"Opebi, Ikeja",5,,Lagos
"
                                                        ₦2.5 million                                                     ",,Opebi- Ikeja,4,,Lagos
"
                                                        ₦2.5 million                                                     ",,"Bamishile Street, Off Allen Avenue, Ikeja",5,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦600 thousand                                                     ",,"Sabo, Yaba",,,Lagos
"
                                                        ₦400 thousand                                                     ",,"Tejuosho Shopping Complex, Yaba",,,Lagos
"
                                                        ₦3.5 million                                                     ",,Gbagada Phase II -,,,Lagos
"
                                                        ₦10 million                                                     ",,"Shonibare Estate, Maryland",5,,Lagos
"
                                                        ₦850 thousand                                                     ",,"Ado Langbasa, Lekki",3,,Lagos
"
                                                        ₦750 thousand                                                     ",,"Ado Langbasa, Lekki",2,,Lagos
"
                                                        ₦600 thousand                                                     ",,"Ado Langbasa, Lekki",2,,Lagos
"
                                                        ₦2 million                                                     ",,"Victoria Crescent, Lafiaji, Orchid Road",3,,Lagos
"
                                                        ₦6 million                                                     ",,"Richmond Gate Estate, Ikate, Lekki",4,,Lagos
"
                                                        ₦2 million                                                     ",,"Off Alpha Beach Road, Lekki",3,,Lagos
"
                                                        ₦3 million                                                     ",,Ben-Chi Ochido Street Chevyview Estate,4,,Lagos
"
                                                        ₦4 million                                                     ",,"Emmanuel Emenike Street, Chevyview Estate",4,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦3 million                                                     ",,"Cadogan Estate, Lekki ",3,,Lagos
"
                                                        ₦2 million                                                     ",,"Femi Okunu Estate, Jakande, Lekki",3,,Lagos
"
                                                        ₦2.8 million                                                     ",,"Primewaterview Gardens 1 Estate, Ikate",,,Lagos
"
                                                        ₦5 million                                                     ",,"Abiodun Yesufu Street, Oniru",,,Lagos
"
                                                        ₦5 million                                                     ",,Oniru ,,,Lagos
Price on call,,"Ocean Bay Mall, Idejo Off Adeola Odeku",,,Lagos
"
                                                        ₦22 million                                                     ",,"Ocean Parade, Banana Island, Ikoyi",4,,Lagos
"
                                                        ₦7 million                                                     ",,"Parkview Estate, Ikoyi",4,,Lagos
"
                                                        ₦6.5 million                                                     ",,"Parkview Estate, Ikoyi",4,,Lagos
"
                                                        ₦1,600,000                                                    ",,Atunrase Estate,4,,Lagos
"
                                                        ₦300,000                                                    ",,"Magboro, Ogun",3,,Lagos
Price on call,,Ikeja,3,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦3,000,000                                                    ",,Magodo Phase 2,,,Lagos
"
                                                        ₦1,300,000                                                    ",,MAGODO PH. 2,,,Lagos
"
                                                        ₦1,500,000                                                    ",,APAPA,,,Lagos
"
                                                        ₦10,000,000                                                    ",,,,,Lagos
"
                                                        ₦9,000,000                                                    ",, 2nd Ave. & Old Ikoyi ,,,Lagos
"
                                                        ₦3,000,000                                                    ",, Off Adeola Odeku,,,Lagos
"
                                                        ₦4,000,000                                                    ",,At Oniru.,,,Lagos
"
                                                        ₦2,500,000                                                    ",, Adeola Odeku ,,,Lagos
"
                                                        ₦6,000,000                                                    ",,) Off Adeola Odeku,,,Lagos
"
                                                        ₦1,400,000                                                    ",,On Adeola Odeku Rd. ,,,Lagos
"
                                                        ₦600,000                                                    ",, 74 Sijuwola St Off Ago Palace Way Okota ,,,Lagos
"
                                                        ₦600,000                                                    ",, 22 Lagos Street Ebute Metta  ,,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
