price,unit,location,bedrooms,baths,parking_lots,state
"15,000,000", per annum,"  Banana Island, Ikoyi, Lagos",3,3,2,
"8,000,000", per annum,"  Off Awolowo Road, Falomo, Ikoyi, Lagos",3,3,2,
"6,000,000", per annum,"  Off Admiralty Road, Lekki Phase 1, Lekki, Lagos",3,3,2,
"20,000,000", per annum,"  Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos",2,2,2,
"9,500,000", per annum,"  Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos",2,2,2,
"4,500,000", per annum,"  Elegba Festival Drive, Oniru, Victoria Island (VI), Lagos",3,3,2,
"3,500,000", per annum,"  Oba Adeyinka Oyekan Estate, Lekki Phase 1, Lekki, Lagos",4,3,3,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"400,000", per annum,"  Lawanson, Surulere, Lagos",1,,,
"800,000", per annum,"  Agungi, Lekki, Lagos",1,1,6,
"800,000", per annum,"  Agungi, Lekki, Lagos",1,1,4,
"600,000", per annum,"  Off Central Rd, Gra, Benin, Oredo, Edo",3,3,"2,000",
"1,200,000", per annum,"  Phase 2 Shangisha, GRA, Magodo, Lagos",2,2,8,
"13,000,000", per annum,"  Banana Island, Ikoyi, Lagos",3,3,2,
"4,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",3,3,2,
"4,000,000", per annum,"  Parkview, Ikoyi, Lagos",3,3,,
"5,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",4,4,3,
"250,000", per annum,"  Treasure Estate, Off East-west Road, Rumuodara, Port Harcourt, Rivers",1,2,6,
"1,200,000", per annum,"  Ologolo, Lekki, Lagos",3,3,,
"1,300,000", per annum,"  Oceanbay Estate, Lafiaji, Lekki, Lagos",2,2,2,
"850,000", per annum,"  Shaki Crescent, Adeshina Via Adelabu, Kilo, Surulere, Lagos",3,3,10,
"3,500,000", per annum,"  Lekki Phase 1 Estate, Lekki Phase 1, Lekki, Lagos",3,3,4,
"500,000", per annum,"  University View, Sangotedo, Ajah, Lagos",2,2,1,
"9,000,000", per annum,"  Second Avenue, Ikoyi, Lagos",4,8,,
"6,500,000", per annum,"  Olusegun Aina Street, Parkview, Ikoyi, Lagos",3,3,,
"80,000", per square meter / per annum,"  Anifowoshe Street, Victoria Island (VI), Lagos",6,,,
"2,300,000", per annum,"  Chevron Drive, Praidse Estate 3, Chevron Drive, Lekki, Lagos",3,3,3,
"3,000,000", per annum,"  Pinnock Beach Estate, Lekki, Lagos",3,,,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"6,500,000", per annum,"  First Avenue, Old Ikoyi, Ikoyi, Lagos",3,3,,
"3,500,000", per annum,"  Lekki Paradise Estate, Off Chevron Drive, Chevy View Estate, Lekki, Lagos",4,4,3,
"800,000", per annum,"  Peninsula Garden, Lekki Expressway, Lekki, Lagos",3,3,1,
"10,000,000", per annum,"  Mojisola Onikoyi Estate, Ikoyi, Lagos",3,3,,
"2,550,000", per annum,"  Road 305, Igbo Efon, Lekki, Lagos",18,38,,
"4,500,000", per annum,"  Elegba Festival Drive, Oniru, Victoria Island (VI), Lagos",3,3,4,
"3,500,000", per annum,"  1004 Estate, Victoria Island (VI), Lagos",3,2,,
"4,500,000", per annum,"  Orchid Road, Lekki Phase 1, Lekki, Lagos",5,5,,
"3,500,000", per annum,"  Dideolu Estate, Oniru, Victoria Island (VI), Lagos",3,3,,
"6,500,000", per annum,"  Bourdillon Road, Old Ikoyi, Ikoyi, Lagos",3,3,,
"650,000", per annum,"  Lekki County, Ikota Villa Estate, Lekki, Lagos",2,2,1,
"10,000,000", per annum,"  Parkview, Ikoyi, Lagos",5,5,,
"5,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",3,3,,
"500,000", per annum,"  Osapa, Lekki, Lagos",,,,
"5,000,000", per annum,"  Parkview, Ikoyi, Lagos",3,3,,
"2,800,000", per annum,"  Lekki Expressway, Lekki, Lagos",3,3,,
"7,500,000", per annum,"  Parkview, Ikoyi, Lagos",4,4,,
