price,unit,location,bedrooms,baths,parking_lots,state
"
                    ₦ 8 000 000
                ","
                        Per Year
                    ","Oniru Estate, Victoria Island, Lekki",3,3,2,Lagos
"
                    ₦ 150 000
                ","
                        Per m²
                    ","Admiralty Way Lekki Phase I, Lekki, Lekki",,,,Lagos
"
                    ₦ 18 000 000
                ","
                        Per Year
                    ","BANANA ISLAND, Ikoyi-obalende, Ikoyi-obalende",4,4,,Lagos
"
                    ₦ 120 000
                ","
                        Per Month
                    ","37 Ahmadu Bello Way, Kaduna South, Kaduna South",,,,Kaduna
"
                    ₦ 15 000 000
                ","
                        Per Year
                    ","4th Ave Banana Island, Banana Island, Lekki",3,3,1,Lagos
"
                    ₦ 4 500 000
                ","
                        Per Year
                    ","MEGAMOUND ESTATE, Lekki, Lekki",5,5,,Lagos
"
                    ₦ 3 500 000
                ","
                        Per Year
                    ","Chevron , Lekki, Lekki",5,5,4,Lagos
"
                    ₦ 120 000
                ","
                        Per Month
                    ","off Ahmadu Bello way, Kaduna, Kaduna South, Kaduna South",,,,Kaduna
"
                    ₦ 10 000 000
                ","
                        Per Year
                    ","PARKVIEW ESTATE, Ikoyi-obalende, Ikoyi-obalende",5,5,,Lagos
"
                    ₦ 20 000 000
                ","
                        Per Year
                    ","Off Gerrard Road, Ikoyi-obalende, Ikoyi-obalende",3,3,1,Lagos
"
                    ₦ 7 000 000
                ","
                        Per Year
                    ","GLOVER ROAD, Ikoyi-obalende, Ikoyi-obalende",4,4,,Lagos
"
                    ₦ 120 000
                ","
                        Per Month
                    ","off Ahmadu Bello way, Kaduna, Kaduna South, Kaduna South",,,,Kaduna
"
                    ₦ 2 000 000
                ","
                        Per Year
                    ","Baba Omojola Estate, Gbagada, Lagos Mainland, Lagos Mainland",5,5,2,Lagos
"
                    ₦ 7 000 000
                ","
                        Per Year
                    ","ONIRU, Victoria Island, Lekki",4,4,,Lagos
"
                    ₦ 13 000 000
                ","
                        Per Year
                    ","5th Ave Banana Island, Banana Island, Lekki",3,3,,Lagos
"
                    ₦ 3 500 000
                ","
                        Per Year
                    ","1004 ESTATE, Victoria Island, Lekki",3,3,,Lagos
"
                    ₦ 5 500 000
                ","
                        Per Year
                    ","osapa lekki lagos, Lekki, Lekki",5,5,,Lagos
"
                    ₦ 20 000 000
                ","
                        Per Month
                    ","IKEJA GRA, Ikeja, Ikeja",4,4,,Lagos
"
                    ₦ 11 000 000
                ","
                        Per Year
                    ","Adeola Odeku St Victoria Island, Victoria Island, Lekki",,,,Lagos
