price,unit,location,bedrooms,baths,state
"
                                                                        ₦2,500,000
                                                                            ",/ yr,"8B, Line 2A, Aladanla Layout",9 Beds / 9 Baths Bungalow To Rent,,"8B, Line 2A, Aladanla Layout"
"
                                                                        ₦4,000,000
                                                                            ",/ yr,Old G.R.A,4 Beds / 5 Baths Duplex To Rent,,Old G.R.A
"
                                                                        ₦200,000
                                                                            ",/ yr,Odo Ona Elewe Off New Garage Behind Taska Filling Station,2 Beds / 1 Bath Flat To Rent,,Odo Ona Elewe Off New Garage Behind Taska Filling Station
"
                                                                        ₦900,000
                                                                            ",/ yr,Ikate,1 Bed / 1 Bath Flat To Rent,,Ikate
"
                                                                        ₦7,500,000
                                                                            ",/ yr,Lugard,2 Beds / 2 Baths Flat To Rent,,Lugard
"
                                                                        ₦35,000
                                                                            ",/ day,Dideolu Estate,1 Bed / 1 Bath Flat To Rent,,Dideolu Estate
"
                                                                        ₦60,000
                                                                            ",/ day,Safe Court Ikate Elegushi,4 Beds / 4 Baths Flat To Rent,,Safe Court Ikate Elegushi
"
                                                                        ₦800,000
                                                                            ",/ yr,Ifako Gbagada,3 Beds / 3 Baths Flat To Rent,,Ifako Gbagada
"
                                                                        ₦400,000
                                                                            ",/ yr,Lawanson,1 Bed / 1 Bath Flat To Rent,,Lawanson
"
                                                                        ₦1,000,000
                                                                            ",/ yr,"Addo Road,  After  Blenco Supermarket",2 Beds / 2 Baths Flat To Rent,,"Addo Road,  After  Blenco Supermarket"
"
                                                                        ₦700,000
                                                                            ",/ yr,Gbagada Lagos,3 Beds / 3 Baths Flat To Rent,,Gbagada Lagos
"
                                                                        ₦400,000
                                                                            ",/ yr,Opebi Lagos,1 Bed / 1 Bath Flat To Rent,,Opebi Lagos
"
                                                                        ₦700,000
                                                                            ",/ yr,Sholuyi Gbagada,3 Beds / 3 Baths Flat To Rent,,Sholuyi Gbagada
"
                                                                        ₦450,000
                                                                            ",/ yr,Ketu Lagos,2 Beds / 2 Baths Flat To Rent,,Ketu Lagos
"
                                                                        ₦800,000
                                                                            ",/ yr,LEKKI,1 Bed / 1 Bath Flat To Rent,,LEKKI
"
                                                                        ₦1,000,000
                                                                            ",/ yr,Oregun,3 Beds / 3 Baths Flat To Rent,,Oregun
"
                                                                        ₦250,000
                                                                            ",/ yr,Alapere,1 Bed / 1 Bath Flat To Rent,,Alapere
"
                                                                        ₦2,000,000
                                                                            ",/ yr,Ilupeju,2 Beds / 2 Baths Flat To Rent,,Ilupeju
"
                                                                        ₦3,000,000
                                                                            ",/ yr,Ogudu Gra,4 Beds / 4 Baths Duplex To Rent,,Ogudu Gra
"
                                                                        ₦1,200,000
                                                                            ",/ yr,"Parkland Estate, Off Peter Odili Road",2 Beds / 3 Baths Flat To Rent,,"Parkland Estate, Off Peter Odili Road"
"
                                                                        ₦5,000,000
                                                                            ",/ yr,Ikoyi Lagos,3 Beds / 2 Baths Flat To Rent,,Ikoyi Lagos
"
                                                                        ₦80,000
                                                                            ",/ day,Bourdillon Drive,3 Beds / 3 Baths Flat To Rent,,Bourdillon Drive
"
                                                                        ₦1,300,000
                                                                            ",/ yr,Sholuyi,4 Beds / 4 Baths Duplex To Rent,,Sholuyi
"
                                                                        ₦600,000
                                                                            ",/ yr,Gbagada,1 Bed / 1 Bath Flat To Rent,,Gbagada
"
                                                                        ₦400,000
                                                                            ",/ yr,Ogba,2 Beds / 2 Baths Flat To Rent,,Ogba
"
                                                                        ₦850,000
                                                                            ",/ yr,Ajah,3 Beds / 3 Baths Flat To Rent,,Ajah
"
                                                                        ₦3,500,000
                                                                            ",/ yr,Lekki,3 Beds / 3 Baths Flat To Rent,,Lekki
"
                                                                        ₦350,000
                                                                            ",/ yr,Lekki,2 Beds / 2 Baths Flat To Rent,,Lekki
"
                                                                        ₦4,000,000
                                                                            ",/ yr,Chevy View Estate Chevron Lekki Lagos,5 Beds / 5 Baths Detached To Rent,,Chevy View Estate Chevron Lekki Lagos
"
                                                                        ₦900,000
                                                                            ",/ yr,Gbagada,3 Beds / 3 Baths Flat To Rent,,Gbagada
"
                                                                        ₦4,500,000
                                                                            ",/ yr,"Parkland Estate, Peter Odili Raod",5 Beds / 6 Baths Duplex To Rent,,"Parkland Estate, Peter Odili Raod"
"
                                                                        ₦2,500,000
                                                                            ",/ yr,GRA PHASE 2,3 Beds / 4 Baths Flat To Rent,,GRA PHASE 2
"
                                                                        ₦1,400,000
                                                                            ",/ yr,"Golf Estate, Off Peter Odili Road, Trans Amadi",3 Beds / 4 Baths Flat To Rent,,"Golf Estate, Off Peter Odili Road, Trans Amadi"
"
                                                                        ₦1,800,000
                                                                            ",/ yr,"Close 2 Off Emmanuel Internagtional, Peter Odili Road",3 Beds / 4 Baths Duplex To Rent,,"Close 2 Off Emmanuel Internagtional, Peter Odili Road"
"
                                                                        ₦8,500,000
                                                                            ",/ yr,Lekki Phase 1,5 Beds / 5 Baths Duplex To Rent,,Lekki Phase 1
"
                                                                        ₦25,000
                                                                            ",/ day,Ikoyi Lagos,3 Beds / 3 Baths Flat To Rent,,Ikoyi Lagos
"
                                                                        ₦750,000
                                                                            ",/ yr,AKOKA LAGOS,3 Beds / 3 Baths Flat To Rent,,AKOKA LAGOS
"
                                                                        ₦1,300,000
                                                                            ",/ yr,Mobil Road Ajah Lagos,3 Beds / 3 Baths Flat To Rent,,Mobil Road Ajah Lagos
"
                                                                        ₦650,000
                                                                            ",/ yr,Ijesha Surulere,2 Beds / 2 Baths Flat To Rent,,Ijesha Surulere
"
                                                                        ₦500,000
                                                                            ",/ yr,LEKKI,1 Bed / 1 Bath Flat To Rent,,LEKKI
"
                                                                        ₦1,200,000
                                                                            ",/ yr,Agungi,2 Beds / 2 Baths Flat To Rent,,Agungi
"
                                                                        ₦7,000,000
                                                                            ",/ yr,Victoria Island Lagos,3 Beds / 4 Baths Block of Flats To Rent,,Victoria Island Lagos
"
                                                                        ₦700,000
                                                                            ",/ yr,OGUDU GRA,1 Bed / 1 Bath Flat To Rent,,OGUDU GRA
"
                                                                        ₦800,000
                                                                            ",/ yr,EBUTEMETTA LAGOS,2 Beds / 2 Baths Flat To Rent,,EBUTEMETTA LAGOS
"
                                                                        ₦3,500,000
                                                                            ",/ yr,Grand View Estate Lekki,4 Beds / 4 Baths Terrace To Rent,,Grand View Estate Lekki
"
                                                                        ₦2,000,000
                                                                            ",/ yr,Chevy View Estate Lekki Lagos,3 Beds / 3 Baths Flat To Rent,,Chevy View Estate Lekki Lagos
"
                                                                        ₦3,500,000
                                                                            ",/ yr,Mobil /AA Osapa Road,3 Beds / 4 Baths Flat To Rent,,Mobil /AA Osapa Road
"
                                                                        ₦5,500,000
                                                                            ",/ yr,Osapa Lekki Lagos,5 Beds / 5 Baths Detached To Rent,,Osapa Lekki Lagos
"
                                                                        ₦4,000,000
                                                                            ",/ yr,Diamond Estate Magodo,4 Beds / 4 Baths Detached To Rent,,Diamond Estate Magodo
"
                                                                        ₦550,000
                                                                            ",/ yr,Admirality Road Tantilizers Lekki,1 Bed / 1 Bath Flat To Rent,,Admirality Road Tantilizers Lekki
"
                                                                        ₦650,000
                                                                            ",/ yr,AWOYAYA AJAH,3 Beds / 3 Baths Flat To Rent,,AWOYAYA AJAH
"
                                                                        ₦25,000,000
                                                                            ",/ yr,Idowu Martins Victoria Island Lagos,4 Beds / 55 Baths Duplex To Rent,,Idowu Martins Victoria Island Lagos
"
                                                                        ₦15,000,000
                                                                            ",/ yr,Banana Island Ikoyi Lagos,1 Bed / 2 Baths Flat To Rent,,Banana Island Ikoyi Lagos
"
                                                                        ₦25,000,000
                                                                            ",/ yr,Banana Island Ikoyi Lagos,4 Beds / 4 Baths High Rise To Rent,,Banana Island Ikoyi Lagos
"
                                                                        ₦1,200,000
                                                                            ",/ yr,Onikan Lagos,2 Beds / 2 Baths Flat To Rent,,Onikan Lagos
"
                                                                        ₦4,500,000
                                                                            ",/ yr,Lekki Garden New Horizon 3.,3 Beds / 3 Baths Terrace To Rent,,Lekki Garden New Horizon 3.
"
                                                                        ₦1,600,000
                                                                            ",/ yr,Mellimum Estate Gbagada,3 Beds / 3 Baths Flat To Rent,,Mellimum Estate Gbagada
"
                                                                        ₦350,000
                                                                            ",/ yr,Admirality Way Lekki,1 Bed / 1 Bath Flat To Rent,,Admirality Way Lekki
"
                                                                        ₦4,500,000
                                                                            ",/ yr,1004 Estate Off Ademola Adetokunbo Street,3 Beds / 2 Baths Flat To Rent,,1004 Estate Off Ademola Adetokunbo Street
"
                                                                        ₦5,000,000
                                                                            ",/ yr,Lekki,4 Beds / 4 Baths Duplex To Rent,,Lekki
"
                                                                        ₦3,000,000
                                                                            ",/ yr,"OGBA, IKEJA, LAGOS",4 Beds / 4 Baths Duplex To Rent,,"OGBA, IKEJA, LAGOS"
"
                                                                        ₦6,000,000
                                                                            ",/ yr,Abacha Estate,4 Beds / 3 Baths Flat To Rent,,Abacha Estate
"
                                                                        ₦550,000
                                                                            ",/ yr,"Medina Estate, Gbagada, Lagos",1 Bed / 1 Bath Flat To Rent,,"Medina Estate, Gbagada, Lagos"
"
                                                                        ₦8,000,000
                                                                            ",/ yr,Gra Ikeja,3 Beds / 3 Baths Block of Flats To Rent,,Gra Ikeja
"
                                                                        ₦17,000,000
                                                                            ",/ yr,Eko Atlantic City,4 Beds / 4 Baths High Rise To Rent,,Eko Atlantic City
"
                                                                        ₦50,000
                                                                            ",/ day,Off Gerrad Ikoyi,2 Beds / 3 Baths Flat To Rent,,Off Gerrad Ikoyi
"
                                                                        ₦22,000,000
                                                                            ",/ yr,Victoria Island,4 Beds / 4 Baths Flat To Rent,,Victoria Island
"
                                                                        ₦2,500,000
                                                                            ",/ yr,Chevy View Estate,3 Beds / 3 Baths Flat To Rent,,Chevy View Estate
"
                                                                        ₦10,000,000
                                                                            ",/ yr,Ikeja Gra,4 Beds / 5 Baths Terrace To Rent,,Ikeja Gra
"
                                                                        ₦4,000,000
                                                                            ",/ yr,Adeniyi Jones In A Secured Estate,4 Beds / 4 Baths Terrace To Rent,,Adeniyi Jones In A Secured Estate
"
                                                                        ₦350,000
                                                                            ",/ yr,Genesis Estate Aboru Iyana Ipaja.,2 Beds / 2 Baths Flat To Rent,,Genesis Estate Aboru Iyana Ipaja.
"
                                                                        ₦330,000
                                                                            ",/ yr,Mercury Estate Aboru/Abule Egba,2 Beds / 3 Baths Flat To Rent,,Mercury Estate Aboru/Abule Egba
"
                                                                        ₦220,000
                                                                            ",/ yr,Evergreen Estate Aboru Iyana Ipaja,1 Bed / 1 Bath Flat To Rent,,Evergreen Estate Aboru Iyana Ipaja
"
                                                                        ₦3,500,000
                                                                            ",/ yr,Millenium Estate,4 Beds / 4 Baths Semi Detached To Rent,,Millenium Estate
"
                                                                        ₦55,000
                                                                            ",/ yr,Fatai Arobieke,3 Beds / 3 Baths Flat To Rent,,Fatai Arobieke
"
                                                                        ₦11,000,000
                                                                            ",/ yr,Old Ikoyi,3 Beds / 3 Baths Flat To Rent,,Old Ikoyi
"
                                                                        ₦8,000,000
                                                                            ",/ yr,Old Ikoyi,3 Beds / 3 Baths Flat To Rent,,Old Ikoyi
