price,unit,location,bedrooms,baths,state
"₦350,000.00 Per Year","₦350,000.00 Per Year",", Nigeria",1,1f,
"₦2,500,000.00 Per Year","₦2,500,000.00 Per Year",", MKO ABIOLA GARDEN, Alausa, Ikeja, Lagos, Nigeria",4,4f,
"₦1,000,000.00 Per Year","₦1,000,000.00 Per Year",", off Shasha Road,, Egbeda, Alimosho, Lagos, Nigeria",3,3f,
"₦5,500,000.00 ","₦5,500,000.00 ",", Along Lekki Epe ezpress way,, Bogije, Ibeju/Lekki, Lagos, Nigeria",0,,
"₦210,000,000.00 ","₦210,000,000.00 ",", ApapaRoad/ Dawodu lane, Ebute Metta, Lagos Mainland, Lagos, Nigeria",0,,
"₦140,000,000.00 ","₦140,000,000.00 ",", Oshodi link road, Anthony, Shomolu, Lagos, Nigeria",,,
"₦190,000,000.00 ","₦190,000,000.00 ",", Along Oyo Road, Ibadan, Ibadan, Oyo, Nigeria",,,
"₦5,000,000.00 ","₦5,000,000.00 ",", Kajola Town, along Lagos Ibadan express way, Oppos, Mowe, Ogun, Nigeria",0,,
"₦8,000,000.00 ","₦8,000,000.00 ",", Monastery road, Sangotedo, Eti-Osa, Lagos, Nigeria",0,,
"₦220,000,000.00 ","₦220,000,000.00 ",", Adeniji Estate, Ogba, Lagos, Nigeria",12,10f,
"₦5,000,000.00 Per Year","₦5,000,000.00 Per Year",", Andi Kan estate, Gwarinpa, Abuja FCT, Nigeria",5,5f,
"₦55,000,000.00 ","₦55,000,000.00 ",", Osho, Opebi, Ikeja, Lagos, Nigeria",,,
"₦400,000,000.00 ","₦400,000,000.00 ",", Ibiyinka Olorumbe, off Amodu Ojikutu, Victoria Island, Lagos, Nigeria",,,
"₦55,000,000.00 ","₦55,000,000.00 ",", Adiva Estate, Lakowe, Ibeju/Lekki, Lagos, Nigeria",4,3f,
"₦12,500,000.00 ","₦12,500,000.00 ",", New Territory Estate, Phase 3, Kuje Area, Abia, Nigeria",2,2f,
"₦70,000,000.00 ","₦70,000,000.00 ",", Ramotu Oluwakemi, Atunrase/Medina/Soluyi, Gbagada, Lagos, Nigeria",5,5f,
"₦75,000,000.00 ","₦75,000,000.00 ",", Dideolu Estate, VI Extension, Victoria Island, Lagos, Nigeria",3,,
"₦20,000,000.00 ","₦20,000,000.00 ",", Millennium Estate, Gbagada, Lagos, Nigeria",0,,
"₦25,000,000.00 ","₦25,000,000.00 ",", Millennium Estate, UPS/Millenium Estate, Gbagada, Lagos, Nigeria",0,,
"₦42,000,000.00 ","₦42,000,000.00 ",", Unilag Estate, Magodo Phase 1, Magodo, Lagos, Nigeria",4,4f,
"$65,000 Per Year","$65,000 Per Year",", Bankole Oki, Parkview/Bourdillon, Ikoyi, Lagos, Nigeria",3,3f,
"$130,000 Per Year","$130,000 Per Year",", Glover Road, Old Ikoyi, Ikoyi, Lagos, Nigeria",5,5f,
"₦15,000,000.00 Per Year","₦15,000,000.00 Per Year",", Isaac John, Ikeja GRA, Ikeja, Lagos, Nigeria",5,5f,
"₦6,000,000.00 Per Year","₦6,000,000.00 Per Year",", Lekki Phase 1, Lekki, Lagos, Nigeria",4,4f,
"₦750,000.00 Per Year","₦750,000.00 Per Year",", Alapere, Kosofe, Lagos, Nigeria",3,3f,
"₦55,000,000.00 ","₦55,000,000.00 ",", Ifako-Ijaiye, Ifako-Ijaiye, Lagos, Nigeria",9,9f,
"₦12,000,000.00 ","₦12,000,000.00 ",", Ajeigbe, Ring Road, Ibadan, Oyo, Nigeria",0,0f,
"₦60,000,000.00 ","₦60,000,000.00 ",", Stardust Estate, UPS/Millenium Estate, Gbagada, Lagos, Nigeria",4,4f,
"₦25,000,000.00 ","₦25,000,000.00 ",", Greenland Estate, Ajah, Lekki, Lagos, Nigeria",3,3f,
"₦500,000.00 Per Year","₦500,000.00 Per Year",", Shiaba Street, Oba-Akran, Ikeja, Lagos, Nigeria",3,3f,
"₦2,500,000,000.00 ","₦2,500,000,000.00 ",", A04 Asokoro District, bordering Asokoro & Guzape, Asokoro, Abuja FCT, Nigeria",0,,
"₦44,000,000.00 ","₦44,000,000.00 ",", Aba-ile, Along Akobo-Olorunda Road, Ibadan, Oyo, Nigeria",,,
"₦11,500,000.00 ","₦11,500,000.00 ",", Plot 673, 1(s) crescent, Lugbe estate, Lugbe, Abuja FCT, Nigeria",0,,
"₦600,000,000.00 ","₦600,000,000.00 ",", Apo legislative quaters, Gudu, Abuja FCT, Nigeria",3,3f,
"₦300,000,000.00 ","₦300,000,000.00 ",", Plot 727 Cadastral Zone B02, Durumi Garki, Abuja Municipal, Abuja FCT, Nigeria",5,5f,
"₦2,500,000,000.00 ","₦2,500,000,000.00 ",", PLOT 623, DIPLOMATIC ZONE, CENTRAL AREA, ABUJA FCT, CBD, Abuja FCT, Nigeria",,,
"$80,000 Per Year","$80,000 Per Year",", Plot R14, Banana Island, Foreshore Estate, off Oni, Ikoyi, Lagos, Nigeria",4,4f,
"₦40,000,000.00 ","₦40,000,000.00 ",", Sunnyvale Estate, 5th & 6th avenue, Dakwo, Abuja FCT, Nigeria",4,4f,
"₦425,000,000.00 ","₦425,000,000.00 ",", Ogba, Ikeja, Lagos, Nigeria",,,
"₦150,000,000.00 ","₦150,000,000.00 ",", Ikate Elegushi, near Oba Elegushi House, Lagos, Nigeria",6,6f,
"₦9,000,000.00 per month","₦9,000,000.00 per month",", Lekki Phase 1, Lekki, Lagos, Nigeria",5,5f,
"₦150,000,000.00 ","₦150,000,000.00 ",", Abuja FCT, Nigeria",3,3f,
"₦300,000.00 Per Year","₦300,000.00 Per Year",", Abule-Ijesha, Yaba, Lagos, Nigeria",1,1f,
"₦16,000,000.00 ","₦16,000,000.00 ",", Beechwood Estate, Lakowe, Lekki, Lagos, Nigeria",0,,
"₦10,000,000.00 Per Year","₦10,000,000.00 Per Year",", Oduduwa crescent, Ikeja GRA, Ikeja, Lagos, Nigeria",5,7f,
"₦17,000,000.00 Per Year","₦17,000,000.00 Per Year",", Ruxton, Obalende, Ikoyi, Lagos, Nigeria",4,4f,
"₦2,500,000,000.00 ","₦2,500,000,000.00 ",", Ogombo, Sangotedo, Eti-Osa, Lagos, Nigeria",0,,
"₦400,000,000.00 ","₦400,000,000.00 ",", Isaac John, Ikeja GRA, Ikeja, Lagos, Nigeria",,,
"₦37,000,000.00 Per Year","₦37,000,000.00 Per Year",", Mobolaji Bank Anthony way, Ikeja, Lagos, Nigeria",,,
